/Volumes/FAT32_FORMA/Thesis/short_video/frames/video1_xuxin_vs_zhangjike_kuwait_2015/frame_00050.jpg
s_index: 50 	f_index: 1073 	Manhattan norm: 3356111.08469 	Per pixel: 14.5664543606
s_index: 50 	f_index: 1074 	Manhattan norm: 3613849.39942 	Per pixel: 15.6851102406
s_index: 50 	f_index: 1075 	Manhattan norm: 3881340.41431 	Per pixel: 16.8460955482
s_index: 50 	f_index: 1076 	Manhattan norm: 4189916.99865 	Per pixel: 18.18540364
s_index: 50 	f_index: 1077 	Manhattan norm: 4216898.28534 	Per pixel: 18.302509919
s_index: 50 	f_index: 1078 	Manhattan norm: 4332404.9411 	Per pixel: 18.8038408902
s_index: 50 	f_index: 1079 	Manhattan norm: 4354068.25916 	Per pixel: 18.8978657082
s_index: 50 	f_index: 1080 	Manhattan norm: 4368822.87958 	Per pixel: 18.9619048593
s_index: 50 	f_index: 1081 	Manhattan norm: 4380617.63089 	Per pixel: 19.0130973563
s_index: 50 	f_index: 1082 	Manhattan norm: 4466890.27409 	Per pixel: 19.3875445924
s_index: 50 	f_index: 1083 	Manhattan norm: 4438563.23479 	Per pixel: 19.2645973732
s_index: 50 	f_index: 1084 	Manhattan norm: 4371457.93135 	Per pixel: 18.9733417159
s_index: 50 	f_index: 1085 	Manhattan norm: 4362398.44274 	Per pixel: 18.9340210188
s_index: 50 	f_index: 1086 	Manhattan norm: 4388661.26602 	Per pixel: 19.0480089671
s_index: 50 	f_index: 1087 	Manhattan norm: 4352656.04835 	Per pixel: 18.891736321
s_index: 50 	f_index: 1088 	Manhattan norm: 4455817.97174 	Per pixel: 19.3394877246
s_index: 50 	f_index: 1089 	Manhattan norm: 4051385.60517 	Per pixel: 17.5841389113
s_index: 50 	f_index: 1090 	Manhattan norm: 3875964.28665 	Per pixel: 16.8227616608
s_index: 50 	f_index: 1091 	Manhattan norm: 4190987.73513 	Per pixel: 18.1900509337
s_index: 50 	f_index: 1092 	Manhattan norm: 4341222.13351 	Per pixel: 18.8421099545
s_index: 50 	f_index: 1093 	Manhattan norm: 4515791.99607 	Per pixel: 19.5997916496
s_index: 50 	f_index: 1094 	Manhattan norm: 4656028.31152 	Per pixel: 20.2084562132
s_index: 50 	f_index: 1095 	Manhattan norm: 4525623.66972 	Per pixel: 19.6424638443
s_index: 50 	f_index: 1096 	Manhattan norm: 4389170.67321 	Per pixel: 19.0502199358
