/Volumes/FAT32_FORMA/Thesis/short_video/frames_with_edges/video1_xuxin_vs_zhangjike_kuwait_2015/frame_00050.jpg
s_index: 50 	f_index: 1073 	Manhattan norm: 4144127.0 	Per pixel: 17.9866623264
s_index: 50 	f_index: 1074 	Manhattan norm: 4279211.0 	Per pixel: 18.5729644097
s_index: 50 	f_index: 1075 	Manhattan norm: 4366606.0 	Per pixel: 18.9522829861
s_index: 50 	f_index: 1076 	Manhattan norm: 4485815.0 	Per pixel: 19.4696831597
s_index: 50 	f_index: 1077 	Manhattan norm: 4480320.0 	Per pixel: 19.4458333333
s_index: 50 	f_index: 1078 	Manhattan norm: 4568344.0 	Per pixel: 19.8278819444
s_index: 50 	f_index: 1079 	Manhattan norm: 4499573.0 	Per pixel: 19.5293967014
s_index: 50 	f_index: 1080 	Manhattan norm: 4435133.0 	Per pixel: 19.2497092014
s_index: 50 	f_index: 1081 	Manhattan norm: 4469277.0 	Per pixel: 19.3979036458
s_index: 50 	f_index: 1082 	Manhattan norm: 4547187.0 	Per pixel: 19.7360546875
s_index: 50 	f_index: 1083 	Manhattan norm: 4551282.0 	Per pixel: 19.753828125
s_index: 50 	f_index: 1084 	Manhattan norm: 4460879.0 	Per pixel: 19.3614539931
s_index: 50 	f_index: 1085 	Manhattan norm: 4465591.0 	Per pixel: 19.3819053819
s_index: 50 	f_index: 1086 	Manhattan norm: 4409904.0 	Per pixel: 19.1402083333
s_index: 50 	f_index: 1087 	Manhattan norm: 4416645.0 	Per pixel: 19.1694661458
s_index: 50 	f_index: 1088 	Manhattan norm: 4402032.0 	Per pixel: 19.1060416667
s_index: 50 	f_index: 1089 	Manhattan norm: 4302818.0 	Per pixel: 18.6754253472
s_index: 50 	f_index: 1090 	Manhattan norm: 4241375.0 	Per pixel: 18.4087456597
s_index: 50 	f_index: 1091 	Manhattan norm: 4322964.0 	Per pixel: 18.7628645833
s_index: 50 	f_index: 1092 	Manhattan norm: 4381037.0 	Per pixel: 19.0149175347
s_index: 50 	f_index: 1093 	Manhattan norm: 4417896.0 	Per pixel: 19.1748958333
s_index: 50 	f_index: 1094 	Manhattan norm: 4474135.0 	Per pixel: 19.4189887153
s_index: 50 	f_index: 1095 	Manhattan norm: 4425851.0 	Per pixel: 19.2094227431
s_index: 50 	f_index: 1096 	Manhattan norm: 4393203.0 	Per pixel: 19.0677213542
